Day,Big Data: (United Kingdom)
01/03/2020,83
02/03/2020,73
03/03/2020,47
04/03/2020,44
05/03/2020,88
06/03/2020,100
07/03/2020,95
08/03/2020,28
09/03/2020,58
10/03/2020,64
11/03/2020,64
12/03/2020,46
13/03/2020,53
14/03/2020,19
15/03/2020,46
16/03/2020,34
17/03/2020,46
18/03/2020,29
19/03/2020,34
20/03/2020,17
21/03/2020,46
22/03/2020,42
23/03/2020,29
24/03/2020,44
25/03/2020,29
26/03/2020,50
27/03/2020,70
28/03/2020,43
29/03/2020,31
30/03/2020,35
31/03/2020,68
01/04/2020,48
02/04/2020,43
03/04/2020,28
04/04/2020,66
05/04/2020,55
06/04/2020,51
07/04/2020,98
08/04/2020,41
09/04/2020,57
10/04/2020,74
11/04/2020,77
12/04/2020,44
13/04/2020,30
14/04/2020,45
15/04/2020,38
16/04/2020,86
17/04/2020,44
18/04/2020,64
19/04/2020,54
20/04/2020,47
21/04/2020,88
22/04/2020,53
23/04/2020,71
24/04/2020,53
25/04/2020,75
26/04/2020,71
27/04/2020,67
28/04/2020,38
29/04/2020,66
30/04/2020,68
01/05/2020,43
02/05/2020,30
03/05/2020,44
04/05/2020,82
05/05/2020,48
06/05/2020,68
07/05/2020,56
08/05/2020,77
09/05/2020,31
10/05/2020,50
11/05/2020,77
12/05/2020,79
13/05/2020,55
14/05/2020,63
15/05/2020,72
16/05/2020,52
17/05/2020,49
18/05/2020,48
19/05/2020,40
20/05/2020,78
21/05/2020,53
22/05/2020,97
23/05/2020,8
24/05/2020,31
25/05/2020,60
