Day,ROI: (United Kingdom)
01/03/2020,45
02/03/2020,85
03/03/2020,75
04/03/2020,73
05/03/2020,51
06/03/2020,45
07/03/2020,28
08/03/2020,48
09/03/2020,68
10/03/2020,67
11/03/2020,72
12/03/2020,100
13/03/2020,89
14/03/2020,44
15/03/2020,52
16/03/2020,83
17/03/2020,76
18/03/2020,68
19/03/2020,58
20/03/2020,55
21/03/2020,35
22/03/2020,38
23/03/2020,52
24/03/2020,57
25/03/2020,47
26/03/2020,61
27/03/2020,55
28/03/2020,36
29/03/2020,34
30/03/2020,71
31/03/2020,65
01/04/2020,59
02/04/2020,54
03/04/2020,44
04/04/2020,36
05/04/2020,52
06/04/2020,47
07/04/2020,96
08/04/2020,45
09/04/2020,60
10/04/2020,45
11/04/2020,37
12/04/2020,34
13/04/2020,49
14/04/2020,72
15/04/2020,55
16/04/2020,36
17/04/2020,26
18/04/2020,37
19/04/2020,52
20/04/2020,68
21/04/2020,66
22/04/2020,67
23/04/2020,77
24/04/2020,44
25/04/2020,44
26/04/2020,34
27/04/2020,69
28/04/2020,59
29/04/2020,70
30/04/2020,47
01/05/2020,60
02/05/2020,64
03/05/2020,53
04/05/2020,61
05/05/2020,60
06/05/2020,68
07/05/2020,64
08/05/2020,45
09/05/2020,56
10/05/2020,56
11/05/2020,67
12/05/2020,69
13/05/2020,64
14/05/2020,58
15/05/2020,53
16/05/2020,38
17/05/2020,67
18/05/2020,58
19/05/2020,43
20/05/2020,47
21/05/2020,58
22/05/2020,45
23/05/2020,52
24/05/2020,46
25/05/2020,53
