Day,Ocado: (United Kingdom)
01/03/2020,9
02/03/2020,13
03/03/2020,15
04/03/2020,13
05/03/2020,14
06/03/2020,11
07/03/2020,12
08/03/2020,14
09/03/2020,16
10/03/2020,17
11/03/2020,18
12/03/2020,29
13/03/2020,39
14/03/2020,57
15/03/2020,64
16/03/2020,61
17/03/2020,70
18/03/2020,76
19/03/2020,41
20/03/2020,39
21/03/2020,63
22/03/2020,64
23/03/2020,88
24/03/2020,100
25/03/2020,75
26/03/2020,62
27/03/2020,63
28/03/2020,57
29/03/2020,66
30/03/2020,57
31/03/2020,61
01/04/2020,51
02/04/2020,50
03/04/2020,53
04/04/2020,44
05/04/2020,36
06/04/2020,40
07/04/2020,46
08/04/2020,45
09/04/2020,33
10/04/2020,31
11/04/2020,30
12/04/2020,26
13/04/2020,33
14/04/2020,32
15/04/2020,32
16/04/2020,29
17/04/2020,27
18/04/2020,28
19/04/2020,23
20/04/2020,23
21/04/2020,23
22/04/2020,24
23/04/2020,25
24/04/2020,21
25/04/2020,22
26/04/2020,19
27/04/2020,21
28/04/2020,20
29/04/2020,19
30/04/2020,19
01/05/2020,16
02/05/2020,17
03/05/2020,18
04/05/2020,19
05/05/2020,19
06/05/2020,20
07/05/2020,19
08/05/2020,15
09/05/2020,16
10/05/2020,17
11/05/2020,19
12/05/2020,16
13/05/2020,17
14/05/2020,16
15/05/2020,13
16/05/2020,13
17/05/2020,13
18/05/2020,15
19/05/2020,13
20/05/2020,16
21/05/2020,15
22/05/2020,13
23/05/2020,13
24/05/2020,13
25/05/2020,13
