Day,Youtube: (United Kingdom)
01/03/2020,74
02/03/2020,68
03/03/2020,70
04/03/2020,70
05/03/2020,72
06/03/2020,73
07/03/2020,76
08/03/2020,74
09/03/2020,69
10/03/2020,70
11/03/2020,69
12/03/2020,68
13/03/2020,72
14/03/2020,77
15/03/2020,75
16/03/2020,68
17/03/2020,69
18/03/2020,75
19/03/2020,80
20/03/2020,87
21/03/2020,90
22/03/2020,90
23/03/2020,86
24/03/2020,93
25/03/2020,92
26/03/2020,94
27/03/2020,93
28/03/2020,92
29/03/2020,93
30/03/2020,92
31/03/2020,94
01/04/2020,92
02/04/2020,97
03/04/2020,100
04/04/2020,93
05/04/2020,93
06/04/2020,83
07/04/2020,84
08/04/2020,82
09/04/2020,86
10/04/2020,93
11/04/2020,91
12/04/2020,96
13/04/2020,88
14/04/2020,86
15/04/2020,86
16/04/2020,87
17/04/2020,91
18/04/2020,97
19/04/2020,92
20/04/2020,85
21/04/2020,88
22/04/2020,89
23/04/2020,88
24/04/2020,91
25/04/2020,89
26/04/2020,87
27/04/2020,88
28/04/2020,86
29/04/2020,87
30/04/2020,88
01/05/2020,89
02/05/2020,89
03/05/2020,87
04/05/2020,84
05/05/2020,81
06/05/2020,82
07/05/2020,83
08/05/2020,87
09/05/2020,86
10/05/2020,84
11/05/2020,83
12/05/2020,82
13/05/2020,80
14/05/2020,87
15/05/2020,85
16/05/2020,84
17/05/2020,83
18/05/2020,81
19/05/2020,81
20/05/2020,81
21/05/2020,83
22/05/2020,81
23/05/2020,84
24/05/2020,81
25/05/2020,78
