Day,home workout: (United Kingdom)
01/03/2020,9
02/03/2020,8
03/03/2020,5
04/03/2020,9
05/03/2020,6
06/03/2020,4
07/03/2020,4
08/03/2020,9
09/03/2020,8
10/03/2020,6
11/03/2020,5
12/03/2020,6
13/03/2020,6
14/03/2020,10
15/03/2020,15
16/03/2020,20
17/03/2020,32
18/03/2020,35
19/03/2020,37
20/03/2020,50
21/03/2020,87
22/03/2020,72
23/03/2020,99
24/03/2020,100
25/03/2020,84
26/03/2020,76
27/03/2020,61
28/03/2020,77
29/03/2020,83
30/03/2020,71
31/03/2020,65
01/04/2020,65
02/04/2020,49
03/04/2020,53
04/04/2020,49
05/04/2020,69
06/04/2020,49
07/04/2020,55
08/04/2020,54
09/04/2020,49
10/04/2020,40
11/04/2020,52
12/04/2020,44
13/04/2020,51
14/04/2020,58
15/04/2020,48
16/04/2020,50
17/04/2020,40
18/04/2020,44
19/04/2020,49
20/04/2020,45
21/04/2020,36
22/04/2020,38
23/04/2020,38
24/04/2020,36
25/04/2020,45
26/04/2020,39
27/04/2020,47
28/04/2020,33
29/04/2020,29
30/04/2020,34
01/05/2020,33
02/05/2020,30
03/05/2020,39
04/05/2020,29
05/05/2020,33
06/05/2020,34
07/05/2020,28
08/05/2020,25
09/05/2020,22
10/05/2020,21
11/05/2020,28
12/05/2020,28
13/05/2020,23
14/05/2020,18
15/05/2020,27
16/05/2020,23
17/05/2020,19
18/05/2020,25
19/05/2020,26
20/05/2020,24
21/05/2020,26
22/05/2020,20
23/05/2020,21
24/05/2020,21
25/05/2020,26
