Day,how to buy stocks: (United Kingdom)
01/03/2020,0
02/03/2020,35
03/03/2020,0
04/03/2020,18
05/03/2020,18
06/03/2020,18
07/03/2020,19
08/03/2020,19
09/03/2020,79
10/03/2020,60
11/03/2020,52
12/03/2020,45
13/03/2020,53
14/03/2020,29
15/03/2020,49
16/03/2020,86
17/03/2020,51
18/03/2020,22
19/03/2020,52
20/03/2020,40
21/03/2020,37
22/03/2020,44
23/03/2020,29
24/03/2020,54
25/03/2020,33
26/03/2020,39
27/03/2020,47
28/03/2020,30
29/03/2020,54
30/03/2020,72
31/03/2020,48
01/04/2020,32
02/04/2020,64
03/04/2020,16
04/04/2020,30
05/04/2020,30
06/04/2020,16
07/04/2020,28
08/04/2020,33
09/04/2020,39
10/04/2020,18
11/04/2020,27
12/04/2020,27
13/04/2020,40
14/04/2020,42
15/04/2020,40
16/04/2020,39
17/04/2020,16
18/04/2020,43
19/04/2020,36
20/04/2020,100
21/04/2020,65
22/04/2020,55
23/04/2020,40
24/04/2020,17
25/04/2020,24
26/04/2020,36
27/04/2020,26
28/04/2020,26
29/04/2020,37
30/04/2020,48
01/05/2020,26
02/05/2020,44
03/05/2020,70
04/05/2020,26
05/05/2020,22
06/05/2020,16
07/05/2020,38
08/05/2020,41
09/05/2020,27
10/05/2020,44
11/05/2020,21
12/05/2020,37
13/05/2020,16
14/05/2020,37
15/05/2020,24
16/05/2020,35
17/05/2020,18
18/05/2020,24
19/05/2020,16
20/05/2020,33
21/05/2020,41
22/05/2020,16
23/05/2020,17
24/05/2020,42
25/05/2020,49
