Day,how to make a mask: (United Kingdom)
01/03/2020,1
02/03/2020,2
03/03/2020,2
04/03/2020,2
05/03/2020,2
06/03/2020,2
07/03/2020,1
08/03/2020,2
09/03/2020,1
10/03/2020,1
11/03/2020,2
12/03/2020,1
13/03/2020,2
14/03/2020,2
15/03/2020,2
16/03/2020,4
17/03/2020,4
18/03/2020,2
19/03/2020,3
20/03/2020,2
21/03/2020,8
22/03/2020,5
23/03/2020,8
24/03/2020,7
25/03/2020,9
26/03/2020,7
27/03/2020,6
28/03/2020,7
29/03/2020,11
30/03/2020,9
31/03/2020,8
01/04/2020,8
02/04/2020,24
03/04/2020,15
04/04/2020,17
05/04/2020,10
06/04/2020,13
07/04/2020,11
08/04/2020,9
09/04/2020,9
10/04/2020,8
11/04/2020,5
12/04/2020,5
13/04/2020,16
14/04/2020,15
15/04/2020,13
16/04/2020,13
17/04/2020,26
18/04/2020,23
19/04/2020,17
20/04/2020,18
21/04/2020,33
22/04/2020,31
23/04/2020,37
24/04/2020,18
25/04/2020,18
26/04/2020,16
27/04/2020,17
28/04/2020,40
29/04/2020,34
30/04/2020,29
01/05/2020,34
02/05/2020,29
03/05/2020,31
04/05/2020,31
05/05/2020,22
06/05/2020,18
07/05/2020,19
08/05/2020,10
09/05/2020,14
10/05/2020,20
11/05/2020,67
12/05/2020,100
13/05/2020,71
14/05/2020,48
15/05/2020,35
16/05/2020,25
17/05/2020,26
18/05/2020,28
19/05/2020,21
20/05/2020,15
21/05/2020,15
22/05/2020,17
23/05/2020,14
24/05/2020,17
25/05/2020,11
