Day,painting: (United Kingdom)
01/03/2020,56
02/03/2020,43
03/03/2020,47
04/03/2020,45
05/03/2020,41
06/03/2020,41
07/03/2020,48
08/03/2020,52
09/03/2020,40
10/03/2020,38
11/03/2020,38
12/03/2020,36
13/03/2020,36
14/03/2020,44
15/03/2020,47
16/03/2020,37
17/03/2020,39
18/03/2020,42
19/03/2020,42
20/03/2020,43
21/03/2020,62
22/03/2020,64
23/03/2020,51
24/03/2020,51
25/03/2020,51
26/03/2020,57
27/03/2020,59
28/03/2020,71
29/03/2020,75
30/03/2020,63
31/03/2020,67
01/04/2020,66
02/04/2020,68
03/04/2020,67
04/04/2020,76
05/04/2020,81
06/04/2020,71
07/04/2020,72
08/04/2020,69
09/04/2020,76
10/04/2020,77
11/04/2020,75
12/04/2020,85
13/04/2020,82
14/04/2020,68
15/04/2020,64
16/04/2020,69
17/04/2020,69
18/04/2020,84
19/04/2020,80
20/04/2020,70
21/04/2020,71
22/04/2020,70
23/04/2020,68
24/04/2020,74
25/04/2020,78
26/04/2020,100
27/04/2020,74
28/04/2020,77
29/04/2020,76
30/04/2020,77
01/05/2020,73
02/05/2020,84
03/05/2020,92
04/05/2020,74
05/05/2020,79
06/05/2020,70
07/05/2020,68
08/05/2020,73
09/05/2020,74
10/05/2020,81
11/05/2020,74
12/05/2020,77
13/05/2020,75
14/05/2020,88
15/05/2020,67
16/05/2020,75
17/05/2020,78
18/05/2020,70
19/05/2020,69
20/05/2020,64
21/05/2020,65
22/05/2020,69
23/05/2020,83
24/05/2020,78
25/05/2020,67
