Day,sewing: (United Kingdom)
01/03/2020,30
02/03/2020,26
03/03/2020,24
04/03/2020,25
05/03/2020,26
06/03/2020,28
07/03/2020,28
08/03/2020,28
09/03/2020,26
10/03/2020,25
11/03/2020,25
12/03/2020,20
13/03/2020,21
14/03/2020,25
15/03/2020,27
16/03/2020,19
17/03/2020,22
18/03/2020,18
19/03/2020,21
20/03/2020,28
21/03/2020,30
22/03/2020,34
23/03/2020,28
24/03/2020,26
25/03/2020,24
26/03/2020,29
27/03/2020,28
28/03/2020,30
29/03/2020,39
30/03/2020,32
31/03/2020,34
01/04/2020,37
02/04/2020,35
03/04/2020,35
04/04/2020,43
05/04/2020,37
06/04/2020,41
07/04/2020,40
08/04/2020,33
09/04/2020,37
10/04/2020,41
11/04/2020,36
12/04/2020,45
13/04/2020,44
14/04/2020,48
15/04/2020,44
16/04/2020,42
17/04/2020,46
18/04/2020,56
19/04/2020,47
20/04/2020,46
21/04/2020,54
22/04/2020,91
23/04/2020,62
24/04/2020,52
25/04/2020,52
26/04/2020,58
27/04/2020,56
28/04/2020,61
29/04/2020,99
30/04/2020,72
01/05/2020,65
02/05/2020,68
03/05/2020,72
04/05/2020,52
05/05/2020,59
06/05/2020,67
07/05/2020,49
08/05/2020,46
09/05/2020,48
10/05/2020,63
11/05/2020,62
12/05/2020,71
13/05/2020,100
14/05/2020,77
15/05/2020,57
16/05/2020,63
17/05/2020,64
18/05/2020,54
19/05/2020,53
20/05/2020,75
21/05/2020,56
22/05/2020,57
23/05/2020,67
24/05/2020,57
25/05/2020,50
