Day,Millennials: (United Kingdom)
01/03/2020,71
02/03/2020,70
03/03/2020,70
04/03/2020,75
05/03/2020,63
06/03/2020,91
07/03/2020,88
08/03/2020,54
09/03/2020,44
10/03/2020,45
11/03/2020,32
12/03/2020,49
13/03/2020,66
14/03/2020,53
15/03/2020,77
16/03/2020,87
17/03/2020,42
18/03/2020,91
19/03/2020,79
20/03/2020,100
21/03/2020,60
22/03/2020,70
23/03/2020,74
24/03/2020,47
25/03/2020,66
26/03/2020,52
27/03/2020,55
28/03/2020,46
29/03/2020,58
30/03/2020,42
31/03/2020,62
01/04/2020,54
02/04/2020,44
03/04/2020,56
04/04/2020,38
05/04/2020,48
06/04/2020,41
07/04/2020,36
08/04/2020,38
09/04/2020,46
10/04/2020,46
11/04/2020,50
12/04/2020,55
13/04/2020,35
14/04/2020,33
15/04/2020,47
16/04/2020,56
17/04/2020,40
18/04/2020,40
19/04/2020,42
20/04/2020,49
21/04/2020,40
22/04/2020,43
23/04/2020,37
24/04/2020,28
25/04/2020,30
26/04/2020,30
27/04/2020,54
28/04/2020,14
29/04/2020,31
30/04/2020,34
01/05/2020,53
02/05/2020,30
03/05/2020,35
04/05/2020,27
05/05/2020,39
06/05/2020,35
07/05/2020,35
08/05/2020,27
09/05/2020,30
10/05/2020,62
11/05/2020,33
12/05/2020,34
13/05/2020,41
14/05/2020,44
15/05/2020,37
16/05/2020,35
17/05/2020,41
18/05/2020,39
19/05/2020,49
20/05/2020,44
21/05/2020,40
22/05/2020,51
23/05/2020,36
24/05/2020,36
25/05/2020,37
