Day,McDonalds: (United Kingdom)
01/03/2020,26
02/03/2020,15
03/03/2020,16
04/03/2020,17
05/03/2020,18
06/03/2020,20
07/03/2020,26
08/03/2020,25
09/03/2020,15
10/03/2020,15
11/03/2020,15
12/03/2020,15
13/03/2020,18
14/03/2020,22
15/03/2020,22
16/03/2020,13
17/03/2020,24
18/03/2020,25
19/03/2020,23
20/03/2020,32
21/03/2020,35
22/03/2020,100
23/03/2020,77
24/03/2020,13
25/03/2020,9
26/03/2020,7
27/03/2020,8
28/03/2020,8
29/03/2020,7
30/03/2020,7
31/03/2020,7
01/04/2020,24
02/04/2020,21
03/04/2020,13
04/04/2020,11
05/04/2020,9
06/04/2020,10
07/04/2020,9
08/04/2020,7
09/04/2020,7
10/04/2020,7
11/04/2020,7
12/04/2020,6
13/04/2020,7
14/04/2020,7
15/04/2020,8
16/04/2020,11
17/04/2020,12
18/04/2020,11
19/04/2020,9
20/04/2020,9
21/04/2020,9
22/04/2020,9
23/04/2020,15
24/04/2020,18
25/04/2020,25
26/04/2020,22
27/04/2020,24
28/04/2020,21
29/04/2020,16
30/04/2020,15
01/05/2020,30
02/05/2020,23
03/05/2020,22
04/05/2020,17
05/05/2020,30
06/05/2020,17
07/05/2020,12
08/05/2020,14
09/05/2020,14
10/05/2020,13
11/05/2020,26
12/05/2020,39
13/05/2020,49
14/05/2020,38
15/05/2020,34
16/05/2020,35
17/05/2020,28
18/05/2020,28
19/05/2020,28
20/05/2020,67
21/05/2020,37
22/05/2020,33
23/05/2020,38
24/05/2020,33
25/05/2020,29
