Day,Walt Disney: (United Kingdom)
01/03/2020,41
02/03/2020,32
03/03/2020,33
04/03/2020,29
05/03/2020,37
06/03/2020,38
07/03/2020,36
08/03/2020,41
09/03/2020,34
10/03/2020,34
11/03/2020,28
12/03/2020,45
13/03/2020,100
14/03/2020,32
15/03/2020,44
16/03/2020,34
17/03/2020,31
18/03/2020,30
19/03/2020,23
20/03/2020,20
21/03/2020,19
22/03/2020,36
23/03/2020,24
24/03/2020,43
25/03/2020,36
26/03/2020,61
27/03/2020,50
28/03/2020,78
29/03/2020,70
30/03/2020,62
31/03/2020,50
01/04/2020,52
02/04/2020,44
03/04/2020,53
04/04/2020,41
05/04/2020,48
06/04/2020,32
07/04/2020,35
08/04/2020,40
09/04/2020,46
10/04/2020,41
11/04/2020,58
12/04/2020,59
13/04/2020,55
14/04/2020,39
15/04/2020,42
16/04/2020,43
17/04/2020,46
18/04/2020,49
19/04/2020,54
20/04/2020,46
21/04/2020,54
22/04/2020,45
23/04/2020,36
24/04/2020,45
25/04/2020,52
26/04/2020,66
27/04/2020,52
28/04/2020,47
29/04/2020,35
30/04/2020,42
01/05/2020,44
02/05/2020,50
03/05/2020,62
04/05/2020,40
05/05/2020,45
06/05/2020,47
07/05/2020,33
08/05/2020,44
09/05/2020,53
10/05/2020,61
11/05/2020,43
12/05/2020,41
13/05/2020,33
14/05/2020,44
15/05/2020,35
16/05/2020,33
17/05/2020,46
18/05/2020,42
19/05/2020,31
20/05/2020,38
21/05/2020,31
22/05/2020,39
23/05/2020,48
24/05/2020,40
25/05/2020,35
